Rank,AllPos,AllNeg,TopPos,TopNeg,PropAllPos,PropTopPos,Movie,Release,Rev_10M,year,AllFresh
630,31,2,9,0,0.9394,1,Presumed Innocent (Warner Bros.),27-Jul-90,8.63,1990,1
631,45,3,4,0,0.9375,1,Young Frankenstein (Fox),15-Dec-74,8.63,1974,1
632,146,29,32,9,0.8343,0.7805,Mean Girls (Paramount),30-Apr-04,8.61,2004,1
633,99,34,23,9,0.7444,0.7188,Spy Kids 2: The Island of Lost Dreams (Miramax / Dimension),7-Aug-02,8.58,2002,1
634,11,68,3,21,0.1392,0.125,Pokemon: The First Movie (Warner Bros.),10-Nov-99,8.57,1999,0
635,123,83,20,14,0.5971,0.5882,Real Steel (Disney / DreamWorks),7-Oct-11,8.55,2011,0
636,85,40,23,11,0.68,0.6765,The SpongeBob SquarePants Movie (Paramount),19-Nov-04,8.54,2004,1
637,29,3,2,2,0.9063,0.5,The Ten Commandments (1956) (Paramount),5-Oct-56,8.54,1956,1
638,48,77,10,20,0.384,0.3333,Brother Bear (Disney),24-Oct-03,8.53,2003,0
639,29,4,3,1,0.8788,0.75,Stripes (Columbia),26-Jun-81,8.53,1981,1
640,130,66,25,13,0.6633,0.6579,Anchorman: The Legend of Ron Burgundy (DreamWorks),9-Jul-04,8.53,2004,1
641,4,9,0,0,0.3077,#DIV/0!,Every Which Way But Loose (Warner Bros.),20-Dec-78,8.52,1978,0
642,17,7,2,1,0.7083,0.6667,Rocky II (United Artists),15-Jun-79,8.52,1979,1
643,49,0,7,0,1,1,Aliens (Fox),18-Jul-86,8.52,1986,1
644,48,52,13,12,0.48,0.52,Open Season (2006) (Sony / Columbia),29-Sep-06,8.51,2006,0
645,79,41,13,9,0.6583,0.5909,The Expendables 2 (Lionsgate),17-Aug-12,8.5,2012,1
646,11,27,5,8,0.2895,0.3846,Dangerous Minds (Disney),11-Aug-95,8.49,1995,0
647,75,53,14,11,0.5859,0.56,Paranormal Activity 2 (Paramount),22-Oct-10,8.48,2010,0
648,150,81,18,25,0.6494,0.4186,The Hobbit: An Unexpected Journey (Warner Bros. / New Line),14-Dec-12,8.46,2012,1
649,19,5,0,1,0.7917,0,The Poseidon Adventure (Fox),13-Dec-72,8.46,1972,1
650,10,55,3,13,0.1538,0.1875,The Santa Clause 3: The Escape Clause (Disney),3-Nov-06,8.45,2006,0
651,155,44,28,9,0.7789,0.7568,"Crazy, Stupid, Love (Warner Bros.)",29-Jul-11,8.44,2011,1
652,24,89,3,23,0.2124,0.1154,Scooby-Doo 2: Monsters Unleashed (Warner Bros.),26-Mar-04,8.42,2004,0
653,27,6,5,2,0.8182,0.7143,Cliffhanger (TriStar),28-May-93,8.41,1993,1
654,68,72,14,19,0.4857,0.4242,Atlantis: The Lost Empire (Disney),8-Jun-01,8.41,2001,0
655,44,25,8,7,0.6377,0.5333,The X-Files (Fox),19-Jun-98,8.39,1998,1
656,235,24,38,4,0.9073,0.9048,Up in the Air (Paramount),4-Dec-09,8.38,2009,1
657,13,7,1,0,0.65,1,Steel Magnolias (TriStar),15-Nov-89,8.38,1989,1
658,42,122,8,21,0.2561,0.2759,Wrath of the Titans (Warner Bros.),30-Mar-12,8.37,2012,0
659,18,6,3,1,0.75,0.75,Under Siege (Warner Bros.),9-Oct-92,8.36,1992,1
660,69,127,7,25,0.352,0.2188,Battle: Los Angeles (Sony / Columbia),11-Mar-11,8.36,2011,0
661,40,73,6,16,0.354,0.2727,Immortals (Relativity Media),11-Nov-11,8.35,2011,0
662,73,1,10,1,0.9865,0.9091,Apocalypse Now (United Artists),15-Aug-79,8.35,1979,1
663,52,1,5,0,0.9811,1,Airplane! (Paramount),2-Jul-80,8.35,1980,1
664,22,8,0,6,0.7333,0,Patriot Games (Paramount),5-Jun-92,8.34,1992,1
665,119,74,23,17,0.6166,0.575,Valkyrie (MGM / United Artists),25-Dec-08,8.31,2008,1
666,203,31,40,4,0.8675,0.9091,Brokeback Mountain (Focus),9-Dec-05,8.3,2005,1
667,27,16,5,4,0.6279,0.5556,Disclosure (Warner Bros.),9-Dec-94,8.3,1994,1
668,47,3,5,3,0.94,0.625,Die Hard (Fox),15-Jul-88,8.3,1988,1
669,112,31,25,11,0.7832,0.6944,Charlotte's Web (2006) (Paramount),15-Dec-06,8.3,2006,1
670,26,137,5,36,0.1595,0.122,Monster-in-Law (New Line),13-May-05,8.29,2005,0
671,13,101,3,29,0.114,0.0938,Are We There Yet? (Sony / Columbia),21-Jan-05,8.27,2005,0
672,17,26,5,3,0.3953,0.625,Days of Thunder (Paramount),27-Jun-90,8.27,1990,0
673,203,25,38,4,0.8904,0.9048,The Descendants (Fox Searchlight),16-Nov-11,8.26,2011,1
674,62,91,9,24,0.4052,0.2727,Freddy Vs. Jason (New Line),15-Aug-03,8.26,2003,0
675,20,7,6,1,0.7407,0.8571,Mr. Holland's Opus (Disney),29-Dec-95,8.26,1995,1
676,6,86,3,25,0.0652,0.1071,Cheaper by the Dozen 2 (Fox),21-Dec-05,8.26,2005,0
677,37,9,7,1,0.8043,0.875,Bram Stoker's Dracula (Columbia),13-Nov-92,8.25,1992,1
678,19,4,4,0,0.8261,1,Fried Green Tomatoes (Universal),27-Dec-91,8.24,1991,1
679,80,56,14,14,0.5882,0.5,Blade II (New Line),22-Mar-02,8.23,2002,0
680,138,57,27,11,0.7077,0.7105,Beowulf (Paramount),16-Nov-07,8.23,2007,1
681,121,23,23,4,0.8403,0.8519,Bridge to Terabithia (Disney),16-Feb-07,8.23,2007,1
682,14,19,2,3,0.4242,0.4,Star Trek: The Motion Picture (Paramount),7-Dec-79,8.23,1979,0
683,31,109,7,27,0.2214,0.2059,The Pink Panther (2006) (Sony / Columbia),10-Feb-06,8.22,2006,0
684,13,2,1,0,0.8667,1,The Goodbye Girl (Warner Bros.),30-Nov-77,8.2,1977,1
685,10,9,0,0,0.5263,#DIV/0!,Jaws 2 (Universal),16-Jun-78,8.18,1978,0
