Rank,AllPos,AllNeg,TopPos,TopNeg,PropAllPos,PropTopPos,Movie,Release,Rev_10M,year,AllFresh
109,195,27,34,7,0.8784,0.8293,X2: X-Men United (Fox),2-May-03,21.49,2003,1
110,80,66,13,14,0.5479,0.4815,Dr. Seuss' The Lorax (Universal),2-Mar-12,21.4,2012,0
111,99,83,22,16,0.544,0.5789,Austin Powers in Goldmember (New Line),26-Jul-02,21.32,2002,0
112,134,91,20,23,0.5956,0.4651,300 (Warner Bros.),9-Mar-07,21.06,2007,0
113,59,2,6,1,0.9672,0.8571,Back to the Future (Universal),3-Jul-85,21.06,1985,1
114,142,41,28,6,0.776,0.8235,Fast Five (Universal),29-Apr-11,20.98,2011,1
115,194,13,35,1,0.9372,0.9722,Mission: Impossible - Ghost Protocol (Paramount),16-Dec-11,20.94,2011,1
116,137,45,30,11,0.7527,0.7317,Wedding Crashers (New Line),15-Jul-05,20.92,2005,1
117,161,68,22,18,0.7031,0.55,Sherlock Holmes (Warner Bros.),25-Dec-09,20.9,2009,1
118,224,39,28,17,0.8517,0.6222,Batman Begins (Warner Bros.),15-Jun-05,20.69,2005,1
119,182,40,36,7,0.8198,0.8372,Charlie and the Chocolate Factory (Warner Bros.),15-Jul-05,20.65,2005,1
120,211,8,43,1,0.9635,0.9773,Ratatouille (Disney),29-Jun-07,20.64,2007,1
121,43,42,11,9,0.5059,0.55,Austin Powers: The Spy Who Shagged Me (New Line),11-Jun-99,20.6,1999,0
122,45,1,10,1,0.9783,0.9091,Terminator 2: Judgment Day (TriStar),3-Jul-91,20.48,1991,1
123,45,7,7,2,0.8654,0.7778,The Exorcist (Warner Bros.),26-Dec-73,20.47,1973,1
124,66,73,15,19,0.4748,0.4412,The Mummy Returns (Universal),4-May-01,20.2,2001,0
125,32,50,3,16,0.3902,0.1579,Armageddon (Disney),1-Jul-98,20.16,1998,0
126,164,19,29,3,0.8962,0.9063,Tangled (Disney),24-Nov-10,20.08,2010,1
127,196,61,33,12,0.7626,0.7333,Superman Returns (Warner Bros.),28-Jun-06,20.01,2006,1
128,64,3,15,2,0.9552,0.8824,Gone with the Wind (MGM),15-Dec-39,19.87,1939,1
129,42,124,7,30,0.253,0.1892,Pearl Harbor (Disney),25-May-01,19.85,2001,0
130,150,59,24,15,0.7177,0.6154,Monsters vs. Aliens (Paramount / DreamWorks),27-Mar-09,19.84,2009,1
131,120,41,31,6,0.7453,0.8378,Happy Feet (Warner Bros.),17-Nov-06,19.8,2006,1
132,50,6,5,2,0.8929,0.7143,Indiana Jones and the Last Crusade (Paramount),24-May-89,19.72,1989,1
133,71,87,11,23,0.4494,0.3235,Ice Age: Dawn of the Dinosaurs (Fox),1-Jul-09,19.66,2009,0
134,82,61,18,11,0.5734,0.6207,Ice Age: The Meltdown (Fox),31-Mar-06,19.53,2006,0
135,102,83,14,23,0.5514,0.3784,Madagascar (DreamWorks),27-May-05,19.36,2005,0
136,101,105,21,18,0.4903,0.5385,Twilight (2008) (Summit),21-Nov-08,19.28,2008,0
137,76,0,18,0,1,1,Toy Story (Disney),22-Nov-95,19.18,1995,1
138,76,123,17,20,0.3819,0.4595,Cars 2 (Disney),24-Jun-11,19.15,2011,0
139,75,118,14,21,0.3886,0.4,Men in Black II (Sony / Columbia),3-Jul-02,19.04,2002,0
140,45,10,9,2,0.8182,0.8182,Grease (Paramount),16-Jun-78,18.84,1978,1
141,125,35,27,10,0.7813,0.7297,Gladiator (2000) (DreamWorks),5-May-00,18.77,2000,1
142,122,80,17,21,0.604,0.4474,Sherlock Holmes: A Game of Shadows (Warner Bros.),16-Dec-11,18.68,2011,1
143,95,115,18,25,0.4524,0.4186,The Day After Tomorrow (Fox),28-May-04,18.67,2004,0
144,119,86,18,22,0.5805,0.45,Mr. & Mrs. Smith (2005) (Fox),10-Jun-05,18.63,2005,0
145,39,1,6,0,0.975,1,Snow White and the Seven Dwarfs (Disney / RKO),21-Dec-37,18.49,1937,1
146,40,11,7,3,0.7843,0.7,Dances with Wolves (Orion),9-Nov-90,18.42,1990,1
147,24,34,10,4,0.4138,0.7143,Batman Forever (Warner Bros.),16-Jun-95,18.41,1995,0
148,50,3,9,0,0.9434,1,The Fugitive (1993) (Warner Bros.),6-Aug-93,18.39,1993,1
149,137,31,29,5,0.8155,0.8529,Ocean's Eleven (Warner Bros.),7-Dec-01,18.34,2001,1
150,176,20,34,7,0.898,0.8293,The Simpsons Movie (Fox),27-Jul-07,18.31,2007,1
151,65,56,22,12,0.5372,0.6471,What Women Want (2000) (Paramount),15-Dec-00,18.28,2000,0
152,106,82,22,18,0.5638,0.55,The Polar Express (Warner Bros.),10-Nov-04,18.27,2004,0
153,62,70,12,16,0.4697,0.4286,The Perfect Storm (Warner Bros.),30-Jun-00,18.26,2000,0
154,43,10,14,2,0.8113,0.875,Liar Liar (Universal),21-Mar-97,18.14,1997,1
155,78,79,9,23,0.4968,0.2813,Jurassic Park III (Universal),18-Jul-01,18.12,2001,0
156,197,59,26,14,0.7695,0.65,Thor (Paramount),6-May-11,18.1,2011,1
157,30,19,10,9,0.6122,0.5263,Mission: Impossible (Paramount),22-May-96,18.1,1996,1
158,70,86,10,22,0.4487,0.3125,Planet of the Apes (2001) (Fox),27-Jul-01,18,2001,0
159,96,54,18,12,0.64,0.6,Madagascar: Escape 2 Africa (Paramount / DreamWorks),7-Nov-08,18,2008,1
160,94,158,8,36,0.373,0.1818,X-Men Origins: Wolverine (Fox),1-May-09,17.99,2009,0
161,51,9,4,3,0.85,0.5714,Indiana Jones and the Temple of Doom (Paramount),23-May-84,17.99,1984,1
162,124,55,22,13,0.6927,0.6286,Hitch (Sony / Columbia),11-Feb-05,17.95,2005,1
163,154,67,25,10,0.6968,0.7143,Men in Black 3 (Sony / Columbia),25-May-12,17.9,2012,1
164,34,21,6,3,0.6182,0.6667,Pretty Woman (Disney),23-Mar-90,17.84,1990,1
165,70,93,13,19,0.4294,0.4063,Night at the Museum: Battle of the Smithsonian (Fox),22-May-09,17.72,2009,0
166,35,5,6,0,0.875,1,Tootsie (Columbia),17-Dec-82,17.72,1982,1
167,20,20,2,4,0.5,0.3333,Top Gun (Paramount),16-May-86,17.68,1986,0
168,201,42,33,9,0.8272,0.7857,Rise of the Planet of the Apes (Fox),5-Aug-11,17.68,2011,1
169,172,45,31,10,0.7926,0.7561,Captain America: The First Avenger (Paramount),22-Jul-11,17.67,2011,1
170,133,66,22,12,0.6683,0.6471,The Karate Kid (2010) (Sony / Columbia),11-Jun-10,17.66,2010,1
171,68,14,19,5,0.8293,0.7917,There's Something About Mary (Fox),15-Jul-98,17.65,1998,1
172,126,38,25,9,0.7683,0.7353,Ice Age (Fox),15-Mar-02,17.64,2002,1
173,152,36,30,10,0.8085,0.75,The Bourne Supremacy (Universal),23-Jul-04,17.62,2004,1
174,23,3,1,1,0.8846,0.5,Crocodile Dundee (Paramount),26-Sep-86,17.48,1986,1
175,67,2,16,1,0.971,0.9412,Apollo 13 (Universal),30-Jun-95,17.38,1995,1
176,6,19,2,1,0.24,0.6667,Home Alone 2: Lost in New York (Fox),20-Nov-92,17.36,1992,0
177,144,27,30,9,0.8421,0.7692,Elf (New Line),7-Nov-03,17.34,2003,1
178,75,94,12,25,0.4438,0.3243,National Treasure (Disney),19-Nov-04,17.3,2004,0
179,40,11,16,3,0.7843,0.8421,Air Force One (Sony / Columbia),25-Jul-97,17.3,1997,1
180,50,7,2,5,0.8772,0.2857,Rain Man (MGM/UA),16-Dec-88,17.28,1988,1
181,115,111,11,29,0.5088,0.275,TRON: Legacy (Disney),17-Dec-10,17.21,2010,0
182,112,17,19,9,0.8682,0.6786,The Matrix (Warner Bros.),31-Mar-99,17.15,1999,1
183,90,12,23,4,0.8824,0.8519,Tarzan (Disney),16-Jun-99,17.11,1999,1
184,243,10,38,2,0.9605,0.95,True Grit (2010) (Paramount),22-Dec-10,17.11,2010,1
185,143,40,30,7,0.7814,0.8108,A Beautiful Mind (Universal),21-Dec-01,17.07,2001,1
186,185,27,36,3,0.8726,0.9231,Chicago (Miramax),27-Dec-02,17.07,2002,1
187,150,47,28,13,0.7614,0.6829,The Help (Disney / DreamWorks),10-Aug-11,16.97,2011,1
188,211,23,34,4,0.9017,0.8947,Bridesmaids (Universal),13-May-11,16.91,2011,1
189,107,16,26,6,0.8699,0.8125,Wreck-It Ralph (Disney),2-Nov-12,16.87,2012,1
190,157,87,15,28,0.6434,0.3488,Quantum of Solace (Sony / Columbia),14-Nov-08,16.84,2008,1
191,21,120,3,33,0.1489,0.0833,Wild Hogs (Disney),2-Mar-07,16.83,2007,0
192,21,7,4,1,0.75,0.8,Three Men and a Baby (Disney),25-Nov-87,16.78,1987,1
193,208,12,44,2,0.9455,0.9565,Casino Royale (2006) (Sony / Columbia),17-Nov-06,16.74,2006,1
194,122,24,30,7,0.8356,0.8108,Meet the Parents (Universal),6-Oct-00,16.62,2000,1
195,92,144,12,26,0.3898,0.3158,2012 (Sony / Columbia),13-Nov-09,16.62,2009,0
196,17,12,2,1,0.5862,0.6667,Robin Hood: Prince of Thieves (Warner Bros.),14-Jun-91,16.55,1991,0
197,132,31,24,6,0.8098,0.8,Kung Fu Panda 2 (Paramount / DreamWorks),26-May-11,16.52,2011,1
198,63,100,15,23,0.3865,0.3947,Hannibal (MGM),9-Feb-01,16.51,2001,0
199,186,8,39,4,0.9588,0.907,Catch Me If You Can (2002) (DreamWorks),25-Dec-02,16.46,2002,1
200,79,103,16,18,0.4341,0.4706,The Proposal (Disney),19-Jun-09,16.4,2009,0
201,113,57,27,13,0.6647,0.675,The Pursuit of Happyness (Sony / Columbia),15-Dec-06,16.36,2006,1
202,37,55,7,18,0.4022,0.28,Big Daddy (Sony / Columbia),25-Jun-99,16.35,1999,0
203,67,170,13,25,0.2827,0.3421,Clash of the Titans (2010) (Warner Bros.),2-Apr-10,16.32,2010,0
204,42,8,2,3,0.84,0.4,The Sound of Music (Fox),2-Mar-65,16.32,1965,1
205,40,11,6,3,0.7843,0.6667,Batman Returns (Warner Bros.),19-Jun-92,16.28,1992,1
206,77,7,18,1,0.9167,0.9474,A Bug's Life (Disney),20-Nov-98,16.28,1998,1
207,16,145,3,30,0.0994,0.0909,Grown Ups (Sony / Columbia),25-Jun-10,16.2,2010,0
208,23,50,4,13,0.3151,0.2353,The Waterboy (Disney),6-Nov-98,16.15,1998,0
209,48,82,9,14,0.3692,0.3913,Ice Age: Continental Drift (Fox),13-Jul-12,16.1,2012,0
210,113,84,16,21,0.5736,0.4324,Die Another Day (MGM),22-Nov-02,16.09,2002,0
211,62,112,14,21,0.3563,0.4,Shark Tale (DreamWorks),1-Oct-04,16.09,2004,0
212,44,4,4,1,0.9167,0.8,The Sting (Universal),25-Dec-73,15.96,1973,1
213,39,13,4,5,0.75,0.4444,The Firm (Paramount),2-Jul-93,15.84,1993,1
214,51,112,15,21,0.3129,0.4167,The Longest Yard (2005) (Paramount),27-May-05,15.81,2005,0
215,127,28,19,13,0.8194,0.5938,X-Men (Fox),14-Jul-00,15.73,2000,1
216,59,52,15,14,0.5315,0.5172,Scary Movie (Miramax / Dimension),7-Jul-00,15.7,2000,0
217,34,9,5,2,0.7907,0.7143,Fatal Attraction (Paramount),18-Sep-87,15.66,1987,1
218,56,67,13,17,0.4553,0.4333,What Lies Beneath (DreamWorks),21-Jul-00,15.55,2000,0
219,45,37,8,10,0.5488,0.4444,The Mummy (Universal),7-May-99,15.54,1999,0
220,47,125,7,24,0.2733,0.2258,Fast & Furious (Universal),3-Apr-09,15.52,2009,0
221,98,104,24,16,0.4851,0.6,Snow White and the Huntsman (Universal),1-Jun-12,15.51,2012,0
222,123,42,24,12,0.7455,0.6667,Over the Hedge (Paramount / DreamWorks),19-May-06,15.5,2006,1
223,54,149,10,25,0.266,0.2857,Fantastic Four (Fox),8-Jul-05,15.47,2005,0
224,103,28,28,6,0.7863,0.8235,Dr. Seuss' Horton Hears a Who! (Fox),14-Mar-08,15.45,2008,1
225,46,1,7,1,0.9787,0.875,Who Framed Roger Rabbit (Disney),22-Jun-88,15.41,1988,1
226,50,9,18,2,0.8475,0.9,Jerry Maguire (Sony / TriStar),13-Dec-96,15.4,1996,1
227,11,13,0,1,0.4583,0,Beverly Hills Cop II (Paramount),20-May-87,15.37,1987,0
228,42,100,12,18,0.2958,0.4,Scooby-Doo (Warner Bros.),14-Jun-02,15.33,2002,0
229,43,9,2,3,0.8269,0.4,Gremlins (Warner Bros.),8-Jun-84,15.31,1984,1
230,87,88,22,21,0.4971,0.5116,Sex and the City (Warner Bros. / New Line),30-May-08,15.26,2008,0
231,38,45,10,17,0.4578,0.3704,Runaway Bride (Paramount),30-Jul-99,15.23,1999,0
232,9,22,0,2,0.2903,0,Rambo: First Blood Part II (TriStar),22-May-85,15.04,1985,0
233,139,59,24,16,0.702,0.6,Terminator 3: Rise of the Machines (Warner Bros.),2-Jul-03,15.04,2003,1
234,54,103,6,20,0.3439,0.2308,G.I. Joe: The Rise of Cobra (Paramount),7-Aug-09,15.02,2009,0
235,116,23,19,3,0.8345,0.8636,Puss in Boots (2011) (Paramount / DreamWorks),28-Oct-11,14.93,2011,1
236,209,22,40,3,0.9048,0.9302,Knocked Up (Universal),1-Jun-07,14.88,2007,1
237,65,11,19,2,0.8553,0.9048,As Good as It Gets (Sony / TriStar),23-Dec-97,14.85,1997,1
238,14,130,1,28,0.0972,0.0345,Little Fockers (Universal),22-Dec-10,14.84,2010,0
239,126,47,23,9,0.7283,0.7188,Megamind (Paramount / DreamWorks),5-Nov-10,14.84,2010,1
240,132,51,29,12,0.7213,0.7073,Talladega Nights: The Ballad of Ricky Bobby (Sony / Columbia),4-Aug-06,14.82,2006,1
241,177,45,31,12,0.7973,0.7209,Gran Torino (Warner Bros.),12-Dec-08,14.81,2008,1
242,30,6,5,0,0.8333,1,Lethal Weapon 2 (Warner Bros.),7-Jul-89,14.73,1989,1
243,210,31,29,12,0.8714,0.7073,X-Men: First Class (Fox),3-Jun-11,14.64,2011,1
244,37,76,8,19,0.3274,0.2963,Paul Blart: Mall Cop (Sony / Columbia),16-Jan-09,14.63,2009,0
245,33,13,5,4,0.7174,0.5556,True Lies (Fox),15-Jul-94,14.63,1994,1
246,124,21,23,7,0.8552,0.7667,Lilo & Stitch (Disney),21-Jun-02,14.58,2002,1
247,66,60,9,24,0.5238,0.2727,American Pie 2 (Universal),10-Aug-01,14.51,2001,0
248,98,70,15,21,0.5833,0.4167,Taken (Fox),30-Jan-09,14.5,2009,0
249,36,1,5,0,0.973,1,101 Dalmatians (1961) (Disney),25-Jan-61,14.49,1961,1
250,32,8,4,2,0.8,0.6667,The Santa Clause (Disney),11-Nov-94,14.48,1994,1
251,113,81,18,19,0.5825,0.4865,"I, Robot (Fox)",16-Jul-04,14.48,2004,0
252,24,19,3,6,0.5581,0.3333,Lethal Weapon 3 (Warner Bros.),15-May-92,14.47,1992,0
253,76,69,21,13,0.5241,0.6176,The Fast and the Furious (Universal),22-Jun-01,14.45,2001,0
254,22,28,4,4,0.44,0.5,Doctor Dolittle (1998) (Fox),26-Jun-98,14.42,1998,0
255,96,81,17,23,0.5424,0.425,Mamma Mia! (Universal),18-Jul-08,14.41,2008,0
256,58,76,10,16,0.4328,0.3846,Hotel Transylvania (Sony / Columbia),28-Sep-12,14.39,2012,0
257,102,40,18,8,0.7183,0.6923,Rio (2011) (Fox),15-Apr-11,14.36,2011,1
258,194,12,38,0,0.9417,1,Juno (Fox Searchlight),5-Dec-07,14.35,2007,1
259,85,50,18,16,0.6296,0.5294,Marley & Me (Fox),25-Dec-08,14.32,2008,1
260,26,87,5,16,0.2301,0.2381,The Smurfs (Sony / Columbia),29-Jul-11,14.26,2011,0
261,86,92,12,21,0.4831,0.3636,XXX (Sony / Columbia),9-Aug-02,14.21,2002,0
262,125,62,24,15,0.6684,0.6154,The Chronicles of Narnia: Prince Caspian (Disney),16-May-08,14.16,2008,1
263,38,4,4,1,0.9048,0.8,National Lampoon's Animal House (Universal),28-Jul-78,14.16,1978,1
264,29,23,10,4,0.5577,0.7143,Pocahontas (Disney),16-Jun-95,14.16,1995,0
265,35,8,8,1,0.814,0.8889,A Few Good Men (Columbia),11-Dec-92,14.13,1992,1
266,212,14,38,2,0.9381,0.95,Slumdog Millionaire (Fox Searchlight),12-Nov-08,14.13,2008,1
267,40,26,7,8,0.6061,0.4667,Rush Hour (New Line),18-Sep-98,14.12,1998,1
268,118,18,28,3,0.8676,0.9032,The Blair Witch Project (Artisan),14-Jul-99,14.05,1999,1
269,24,27,2,4,0.4706,0.3333,Deep Impact (Paramount),8-May-98,14.05,1998,0
270,30,127,7,24,0.1911,0.2258,Rush Hour 3 (New Line),10-Aug-07,14.01,2007,0
271,19,14,2,5,0.5758,0.2857,Look Who's Talking (TriStar),13-Oct-89,14.01,1989,0
272,64,33,17,13,0.6598,0.5667,Stuart Little (Sony / Columbia),17-Dec-99,14,1999,1
273,30,9,0,3,0.7692,0,The Rocky Horror Picture Show (Fox),26-Sep-75,13.99,1975,1
274,15,6,2,1,0.7143,0.6667,Sister Act (Disney),29-May-92,13.96,1992,1
275,74,133,10,28,0.3575,0.2632,The Matrix Revolutions (Warner Bros.),5-Nov-03,13.93,2003,0
276,62,51,14,15,0.5487,0.4828,The Santa Clause 2 (Disney),1-Nov-02,13.92,2002,0
277,207,12,36,1,0.9452,0.973,The King's Speech (Weinstein Company),26-Nov-10,13.88,2010,1
278,26,87,10,21,0.2301,0.3226,Cheaper by the Dozen (Fox),25-Dec-03,13.86,2003,0
279,37,125,6,34,0.2284,0.15,Bad Boys II (Sony / Columbia),18-Jul-03,13.86,2003,0
280,39,6,7,3,0.8667,0.7,Platoon (Orion),19-Dec-86,13.85,1986,1
281,174,31,33,5,0.8488,0.8684,21 Jump Street (Sony / Columbia),16-Mar-12,13.84,2012,1
282,67,2,16,0,0.971,1,Good Will Hunting (Miramax),5-Dec-97,13.84,1997,1
283,63,4,15,2,0.9403,0.8824,Star Wars: Special Edition (Fox),31-Jan-97,13.83,1997,1
284,33,123,8,22,0.2115,0.2667,Taken 2 (Fox),5-Oct-12,13.81,2012,0
285,100,86,17,16,0.5376,0.5152,Disney's A Christmas Carol (Disney),6-Nov-09,13.78,2009,0
286,79,43,20,11,0.6475,0.6452,Dinosaur (Disney),19-May-00,13.77,2000,1
287,54,112,11,26,0.3253,0.2973,Click (Sony / Columbia),23-Jun-06,13.74,2006,0
288,105,27,24,9,0.7955,0.7273,The Green Mile (Warner Bros.),10-Dec-99,13.68,1999,1
289,24,9,5,3,0.7273,0.625,Ransom (Disney),8-Nov-96,13.65,1996,1
290,16,46,4,6,0.2581,0.4,Godzilla (1998) (Sony / TriStar),20-May-98,13.63,1998,0
291,13,20,1,5,0.3939,0.1667,101 Dalmatians (1996) (Disney),27-Nov-96,13.62,1996,0
292,82,107,18,22,0.4339,0.45,Anger Management (Sony / Columbia),11-Apr-03,13.56,2003,0
293,25,4,1,1,0.8621,0.5,The Jungle Book (1967) (Disney),18-Oct-67,13.55,1967,1
294,58,101,9,26,0.3648,0.2571,Chicken Little (Disney),4-Nov-05,13.54,2005,0
295,17,22,4,3,0.4359,0.5714,Teenage Mutant Ninja Turtles (1990) (New Line),30-Mar-90,13.53,1990,0
296,13,43,4,13,0.2321,0.2353,Patch Adams (Universal),25-Dec-98,13.5,1998,0
297,76,0,14,0,1,1,The Godfather (Paramount),15-Mar-72,13.5,1972,1
298,147,72,22,18,0.6712,0.55,The Incredible Hulk (Universal),13-Jun-08,13.48,2008,1
299,167,38,33,8,0.8146,0.8049,Live Free or Die Hard (Fox),27-Jun-07,13.45,2007,1
300,142,59,29,12,0.7065,0.7073,Wanted (2008) (Universal),27-Jun-08,13.45,2008,1
301,33,16,10,6,0.6735,0.625,The Rock (Disney),7-Jun-96,13.41,1996,1
302,154,65,28,16,0.7032,0.6364,Mission: Impossible III (Paramount),5-May-06,13.4,2006,1
303,92,156,14,29,0.371,0.3256,Angels & Demons (Sony / Columbia),15-May-09,13.34,2009,0
304,121,101,28,16,0.545,0.6364,Troy (Warner Bros.),14-May-04,13.34,2004,0
305,9,63,2,17,0.125,0.1053,Alvin and the Chipmunks: Chipwrecked (Fox),16-Dec-11,13.31,2011,0
306,50,97,12,21,0.3401,0.3636,Bringing Down the House (Disney),7-Mar-03,13.27,2003,0
307,212,17,43,3,0.9258,0.9348,The Departed (Warner Bros.),6-Oct-06,13.24,2006,1
308,141,87,23,20,0.6184,0.5349,Hulk (Universal),20-Jun-03,13.22,2003,1
309,38,2,5,0,0.95,1,Close Encounters of the Third Kind (Columbia),16-Nov-77,13.21,1977,1
310,207,19,35,4,0.9159,0.8974,Minority Report (Fox),21-Jun-02,13.21,2002,1
311,62,105,12,24,0.3713,0.3333,Fantastic Four: Rise of the Silver Surfer (Fox),15-Jun-07,13.19,2007,0
312,11,165,2,31,0.0625,0.0606,The Last Airbender (Paramount),1-Jul-10,13.16,2010,0
313,29,126,7,29,0.1871,0.1944,"Lara Croft, Tomb Raider (Paramount)",15-Jun-01,13.12,2001,0
314,52,2,10,1,0.963,0.9091,The Silence of the Lambs (Orion),14-Feb-91,13.07,1991,1
315,23,8,3,1,0.7419,0.75,"Honey, I Shrunk the Kids (Disney)",23-Jun-89,13.07,1989,1
316,9,32,2,5,0.2195,0.2857,The Flintstones (Universal),27-May-94,13.06,1994,0
317,34,32,6,7,0.5152,0.4615,Lethal Weapon 4 (Warner Bros.),10-Jul-98,13.04,1998,0
318,108,104,21,19,0.5094,0.525,Get Smart (Warner Bros.),20-Jun-08,13.03,2008,0
319,167,43,34,10,0.7952,0.7727,American Gangster (Universal),2-Nov-07,13.02,2007,1
320,135,18,30,3,0.8824,0.9091,American Beauty (DreamWorks),15-Sep-99,13.01,1999,1
321,16,1,1,0,0.9412,1,An Officer and a Gentleman (Paramount),28-Jul-82,12.98,1982,1
322,128,52,20,16,0.7111,0.5556,The Ring (DreamWorks),18-Oct-02,12.91,2002,1
323,35,19,14,2,0.6481,0.875,The Nutty Professor (1996) (Universal),28-Jun-96,12.88,1996,1
324,193,18,42,1,0.9147,0.9767,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (Fox),3-Nov-06,12.85,2006,1
325,113,64,25,11,0.6384,0.6944,Robots (Fox),11-Mar-05,12.82,2005,1
326,25,12,0,5,0.6757,0,Coming to America (Paramount),29-Jun-88,12.82,1988,1
327,143,4,33,1,0.9728,0.9706,"Crouching Tiger, Hidden Dragon (Sony Pictures Classics)",8-Dec-00,12.81,2000,1
328,166,76,24,16,0.686,0.6,Shutter Island (Paramount),19-Feb-10,12.8,2010,1
329,15,19,0,4,0.4412,0,Rocky IV (MGM/UA),27-Nov-85,12.79,1985,0
330,153,11,33,3,0.9329,0.9167,Enchanted (Disney),21-Nov-07,12.78,2007,1
331,168,64,29,10,0.7241,0.7436,The Curious Case of Benjamin Button (Paramount),25-Dec-08,12.75,2008,1
332,58,98,13,21,0.3718,0.3824,Sweet Home Alabama (Disney),27-Sep-02,12.72,2002,0
333,29,17,4,6,0.6304,0.4,Dumb and Dumber (New Line),16-Dec-94,12.72,1994,1
334,56,99,13,21,0.3613,0.3824,2 Fast 2 Furious (Universal),6-Jun-03,12.72,2003,0
335,40,16,10,7,0.7143,0.5882,My Best Friend's Wedding (Sony / TriStar),20-Jun-97,12.71,1997,1
336,216,46,33,9,0.8244,0.7857,Super 8 (Paramount),9-Jun-11,12.7,2011,1
337,61,59,17,12,0.5083,0.5862,The World Is Not Enough (MGM),19-Nov-99,12.69,1999,0
338,20,5,0,1,0.8,0,Smokey and the Bandit (Universal),27-May-77,12.67,1977,1
339,32,13,6,5,0.7111,0.5455,Sleepless in Seattle (TriStar),25-Jun-93,12.67,1993,1
340,86,83,19,20,0.5089,0.4872,Bee Movie (Paramount / DreamWorks),2-Nov-07,12.66,2007,0
341,193,69,30,12,0.7366,0.7143,Prometheus (Fox),8-Jun-12,12.65,2012,1
342,34,121,6,26,0.2194,0.1875,Mr. Deeds (Sony / Columbia),28-Jun-02,12.63,2002,0
343,94,82,18,14,0.5341,0.5625,Safe House (Universal),10-Feb-12,12.62,2012,0
344,94,5,18,2,0.9495,0.9,The Truman Show (Paramount),5-Jun-98,12.56,1998,1
345,119,23,31,4,0.838,0.8857,Erin Brockovich (Universal),17-Mar-00,12.56,2000,1
346,98,78,23,16,0.5568,0.5897,Ocean's Twelve (Warner Bros.),10-Dec-04,12.55,2004,0
347,88,180,13,27,0.3284,0.325,Terminator Salvation (Warner Bros.),21-May-09,12.53,2009,0
348,95,46,22,13,0.6738,0.6286,Charlie's Angels (Sony / Columbia),3-Nov-00,12.53,2000,1
349,36,27,5,9,0.5714,0.3571,Tomorrow Never Dies (MGM/UA),19-Dec-97,12.53,1997,0
350,18,12,1,1,0.6,0.5,Rocky III (MGM/UA),28-May-82,12.5,1982,1
351,36,88,7,21,0.2903,0.25,The Vow (Sony / Screen Gems),10-Feb-12,12.5,2012,0
352,117,19,15,7,0.8603,0.6818,Cloudy with a Chance of Meatballs (Sony / Columbia),18-Sep-09,12.49,2009,1
353,140,45,36,8,0.7568,0.8182,The Devil Wears Prada (Fox),30-Jun-06,12.47,2006,1
354,116,48,30,10,0.7073,0.75,Something's Gotta Give (Sony / Columbia),12-Dec-03,12.47,2003,1
355,143,13,37,3,0.9167,0.925,Traffic (USA Films),27-Dec-00,12.41,2000,1
356,33,10,10,1,0.7674,0.9091,The Birdcage (MGM/UA),8-Mar-96,12.41,1996,1
357,27,3,3,0,0.9,1,City Slickers (Columbia),7-Jun-91,12.4,1991,1
358,33,4,3,1,0.8919,0.75,"Good Morning, Vietnam (Disney)",23-Dec-87,12.39,1987,1
359,22,63,8,14,0.2588,0.3636,Nutty Professor II: The Klumps (Universal),28-Jul-00,12.33,2000,0
360,184,26,30,5,0.8762,0.8571,Rango (Paramount),4-Mar-11,12.33,2011,1
361,31,7,7,2,0.8158,0.7778,Clear and Present Danger (Paramount),3-Aug-94,12.22,1994,1
362,42,2,4,1,0.9545,0.8,The Hunt for Red October (Paramount),2-Mar-90,12.2,1990,1
363,11,23,1,5,0.3235,0.1667,The Bodyguard (Warner Bros.),25-Nov-92,12.19,1992,0
364,39,7,5,2,0.8478,0.7143,Wayne's World (Paramount),14-Feb-92,12.17,1992,1
365,153,31,30,8,0.8315,0.7895,The Bourne Identity (Universal),14-Jun-02,12.17,2002,1
366,181,25,37,6,0.8786,0.8605,Superbad (Sony / Columbia),17-Aug-07,12.15,2007,1
367,38,4,7,2,0.9048,0.7778,Speed (Fox),10-Jun-94,12.13,1994,1
368,76,96,18,21,0.4419,0.4615,50 First Dates (Sony / Columbia),13-Feb-04,12.09,2004,0
369,62,10,10,4,0.8611,0.7143,Mulan (Disney),19-Jun-98,12.06,1998,1
370,235,31,33,11,0.8835,0.75,Inglourious Basterds (Weinstein Company),21-Aug-09,12.05,2009,1
371,154,45,36,9,0.7739,0.8,Seabiscuit (Universal),25-Jul-03,12.03,2003,1
372,47,161,7,32,0.226,0.1795,Van Helsing (Universal),7-May-04,12.02,2004,0
373,36,107,5,23,0.2517,0.1786,Four Christmases (Warner Bros. / New Line),26-Nov-08,12.01,2008,0
374,22,134,5,31,0.141,0.1389,I Now Pronounce You Chuck and Larry (Universal),20-Jul-07,12.01,2007,0
375,33,11,5,4,0.75,0.5556,The Mask (New Line),29-Jul-94,11.99,1994,1
376,11,27,3,4,0.2895,0.4286,Hook (TriStar),11-Dec-91,11.97,1991,0
377,167,36,32,10,0.8227,0.7619,Walk the Line (Fox),18-Nov-05,11.95,2005,1
378,41,5,4,1,0.8913,0.8,Blazing Saddles (Warner Bros.),7-Feb-74,11.95,1974,1
